Vendor,Entities,Suggested Account,Assign Account,Status,Confidence,Txns,Amount,Accounts Used,Source,Matched As
CLENSTA INTERNATIONAL PRIVATE LIMITED,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,28,22273.67,1,Zoho Bills (line items),CLENSTA INTERNATIONAL PRIVATE LIMITED
Click Digital Company (on behalf of Baraa Rajab),KSA,,,Unmapped,,,,,,
CLICKTECH RETAIL PRIVATE LIMITED,PVT,,,Unmapped,,,,,,
CLICKTECH RETAIL PRIVATE LIMITED TN (AMAZON),PVT,,,Unmapped,,,,,,
Clinova,KUWA,Inventory Asset,Inventory Asset,Suggested,91%,36,184194.58,2,Zoho Bills (line items),Clinova
Clinova Ltd,DMCC,Inventory Asset,Inventory Asset,Suggested,91%,36,184194.58,2,Zoho Bills (line items),Clinova
CLS Group FZE,DMCC,,,Unmapped,,,,,,
CNM INSTITUTE OF NATURAL HEALTH FZ-LLC,DMCC,,,Unmapped,,,,,,
CODINGMART  TECHNOLOGIES PVT LTD,DMCC,,,Unmapped,,,,,,
Colour My Plate catering services,DMCC,,,Unmapped,,,,,,
Community Central Inc Dubai Branch,DMCC,,,Unmapped,,,,,,
Compass Laboratory,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,34,246772.49,1,Zoho Bills (line items),Compass Laboratory
CONNECTIN TRANSLATION EST,DMCC,,,Unmapped,,,,,,
Conscious Chemist,KUWA,,,Unmapped,,,,,,
CONSCIOUS LIVING LIFESTYLE COACHING,DMCC,,,Unmapped,,,,,,
Core Investment-Riyadh,DMCC,,,Unmapped,,,,,,
CORTEX LIFE SCIENCES LLC,DMCC,,,Unmapped,,,,,,
CorX Homecare by Physioworld Healthcare LLC,DMCC,,,Unmapped,,,,,,
Cosmic Doctor Trading LLC,KUWA,Inventory Asset,Inventory Asset,Needs review,51%,6,5083.0,3,Zoho Bills (line items),Cosmic Doctor Trading LLC
Cosmostake R,DMCC,,,Unmapped,,,,,,
CREATIVE VISION GENERAL TRADING L.L.C,KUWA,Office Expenses,Office Expenses,Suggested,100%,1,1728.19,1,Zoho Bills (line items),CREATIVE VISION GENERAL TRADING L.L.C
Crystel,DMCC,,,Unmapped,,,,,,
CTS HUMAN RESOURCECTS HUMAN RESOURCES CONSULTANCIES - FCZOS CONSULTANCIES - FCZO,DMCC,,,Unmapped,,,,,,
Curveball Events Management LLC,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,6600.0,1,Zoho Bills (line items),Curveball Events Management LLC
CXHyve,DMCC,Accrued Expenses,Accrued Expenses,Suggested,100%,5,27117.81,1,Zoho Bills (line items),CXHYVE LLC
CXHYVE LLC,KUWA,Accrued Expenses,Accrued Expenses,Suggested,100%,5,27117.81,1,Zoho Bills (line items),CXHYVE LLC
DAANAT AL AMANA ELECTRONICS TRADING,KUWA,Computer and Peripherals - Cost,Computer and Peripherals - Cost,Needs review,63%,4,1565.0,2,Zoho Bills (line items),DAANAT AL AMANA ELECTRONICS TRADING
DAHAB Travel and Tourism LLC,DMCC,,,Unmapped,,,,,,
Danfe Restaurant,KUWA,,,Unmapped,,,,,,
Dania Samir Almasri,KSA,,,Unmapped,,,,,,
DANYA HOLISTIC HEALTH,DMCC,,,Unmapped,,,,,,
Danya Holistic Health,KSA,,,Unmapped,,,,,,
DAR ALAMERAT CO,DMCC,,,Unmapped,,,,,,
Darb Al Salamah Safety system,KUWA,Office Expenses,Office Expenses,Suggested,100%,1,350.0,1,Zoho Bills (line items),Darb Al Salamah Safety system
Daria Sotsenko,DMCC,,,Unmapped,,,,,,
DARIN,VWHC,,,Unmapped,,,,,,
Dawaa Al Gharbyah Company,"KSA, KUWA",,,Unmapped,,,,,,
Day To Day,DMCC,,,Unmapped,,,,,,
DBW TRADBW TRADING LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,1,936.0,1,Zoho Bills (line items),DBW TRADBW TRADING LLC
DDU SHIPPING AND LOGISTICS LLC.,KUWA,First mile,First mile,Suggested,100%,5,81529.35,1,Zoho Bills (line items),DDU SHIPPING AND LOGISTICS LLC.
DecodeAge,DMCC,,,Unmapped,,,,,,
DECONSTRUCT - BAYPURE PVT LTD,DMCC,,,Unmapped,,,,,,
Deepa Jaisingh,DMCC,,,Unmapped,,,,,,
Delivery Hero Stores DB LLC,KUWA,3PL - Commission and Charges,3PL - Commission and Charges,Suggested,100%,17,14059.1,1,Zoho Bills (line items),Delivery Hero Stores DB LLC
DELIVERY HERO TALABAT DB L.L.C,DMCC,,,Unmapped,,,,,,
Deloitte & Touche (M.E.),"DMCC, KUWA",Professional Fees,Professional Fees,Suggested,100%,7,115716.79,1,Zoho Bills (line items),Deloitte & Touche (M.E.)
Deloitte & Touche (M.E.) LLP,HOLDING,Professional Fees,Professional Fees,Suggested,100%,7,115716.79,1,Zoho Bills (line items),Deloitte & Touche (M.E.)
Delta Medical Laboratories,KSA,,,Unmapped,,,,,,
Derek Stark,DMCC,,,Unmapped,,,,,,
Desco,DMCC,,,Unmapped,,,,,,
Desert Barbell Sports Club LLC,DMCC,,,Unmapped,,,,,,
Devops,DMCC,,,Unmapped,,,,,,
Dexopack packaging llc,KUWA,,,Unmapped,,,,,,
Dext Software Limited,"DMCC, KUWA",Subscription Charges,Subscription Charges,Suggested,100%,2,1077.88,1,Zoho Bills (line items),Dext Software Limited
DHL,DMCC,,,Unmapped,,,,,,
DHL Worldwide Express (Dubai) LLC,KUWA,First mile,First mile,Suggested,83%,178,39545.61,4,Zoho Bills (line items),DHL Worldwide Express (Dubai) LLC
Diaa Altayef Co. / شركة,KSA,,,Unmapped,,,,,,
DIALA HUSSEIN,DMCC,,,Unmapped,,,,,,
Diana Nakhle,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,2,1510.03,1,Zoho Bills (line items),Diana Nakhle
Digital communications company for Advertising,DMCC,,,Unmapped,,,,,,
Digital Communications Company for Advertising,KSA,,,Unmapped,,,,,,
Dima Khalaf Health Coach,DMCC,,,Unmapped,,,,,,
DINA ADEL AHMED,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,2000.0,1,Zoho Bills (line items),DINA ADEL AHMED
Dina assaad,DMCC,,,Unmapped,,,,,,
Dina Maimouni,DMCC,,,Unmapped,,,,,,
Dina Zahran,DMCC,,,Unmapped,,,,,,
Dina Zahran Social Media Marketing,DMCC,,,Unmapped,,,,,,
Dio Life Home Health Care Co,DMCC,,,Unmapped,,,,,,
Diogo Lopes,DMCC,,,Unmapped,,,,,,
DIVINE BOX,PVT,,,Unmapped,,,,,,
DJ Kat Sizova,DMCC,,,Unmapped,,,,,,
DMETCO BAYTI,DMCC,,,Unmapped,,,,,,
DNA International Trading LLC,DMCC,,,Unmapped,,,,,,
Doctify Limited,KSA,,,Unmapped,,,,,,
Double Wood LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,112,416342.22,1,Zoho Bills (line items),Double Wood LLC
Dove soft Technology,DMCC,,,Unmapped,,,,,,
Dr Khalid,DMCC,,,Unmapped,,,,,,
Dr Sandrine Atallah,DMCC,,,Unmapped,,,,,,
Dr. FaryalLuhar NaturopathicDoctor,KSA,,,Unmapped,,,,,,
Dr. Gilson Garcia,DMCC,,,Unmapped,,,,,,
Dr. Nada,DMCC,,,Unmapped,,,,,,
Dr. Rajul Matkar,DMCC,,,Unmapped,,,,,,
Dr. Yasmine Saad,KSA,,,Unmapped,,,,,,
Dr.Nutrition Center LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,34,44805.2,2,Zoho Bills (line items),Dr.Nutrition Center LLC
Drífandi,DMCC,,,Unmapped,,,,,,
DTRIUMPH LOGISTICS INDIA PRIVATE LIMITED,KUWA,First mile,First mile,Suggested,100%,1,4868.74,1,Zoho Bills (line items),DTRIUMPH LOGISTICS INDIA PRIVATE LIMITED
Dubai Electricity & Water Authority,"DMCC, KUWA",Utility Expenses,Utility Expenses,Suggested,100%,66,25821.36,1,Zoho Bills (line items),Dubai Electricity & Water Authority
Dubai Health Authority,DMCC,,,Unmapped,,,,,,
Dubai Insurance Care & Commitment,DMCC,,,Unmapped,,,,,,
Dubai Investments Park Development Co,KUWA,Utility Expenses,Utility Expenses,Suggested,100%,1,18000.0,1,Zoho Bills (line items),Dubai Investments Park Development Co
Dubai Investments Park Developments Co. LLC,KUWA,Utility Expenses,Utility Expenses,Suggested,100%,1,18000.0,1,Zoho Bills (line items),Dubai Investments Park Developments Co. LLC
Dubai Ladies Club,DMCC,,,Unmapped,,,,,,
Dubai National Insurance & Reinsurance,DMCC,,,Unmapped,,,,,,
Dubai National Insurance & Reinsurance P.S.C,DMCC,,,Unmapped,,,,,,
Dubai Store,DMCC,,,Unmapped,,,,,,
Dubai Store - Kuwa,KUWA,3PL - Commission and Charges,3PL - Commission and Charges,Suggested,100%,9,1260.18,1,Zoho Bills (line items),Dubai Store - Kuwa
dubai world trade centre,DMCC,,,Unmapped,,,,,,
Dustte LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,3,10470.0,1,Zoho Bills (line items),Dustte LLC
Dynamic Employment Services L.L.C,DMCC,,,Unmapped,,,,,,
E & LU,DMCC,,,Unmapped,,,,,,
EASENODE TECH PRIVATE LIMITED,PVT,,,Unmapped,,,,,,
Easy Healthcare,DMCC,,,Unmapped,,,,,,
Eat Routes Inc.,DMCC,,,Unmapped,,,,,,
EDS Digital Marketing,DMCC,,,Unmapped,,,,,,
Ego & East FZ LLC,DMCC,,,Unmapped,,,,,,
EITHAR HOME HEALTHCARE COMPANY,DMCC,,,Unmapped,,,,,,
Elevision Media LLC,DMCC,,,Unmapped,,,,,,
Elham Assaad,DMCC,,,Unmapped,,,,,,
Elias Tsikhlakis,DMCC,,,Unmapped,,,,,,
ELIE MANSOUR,DMCC,,,Unmapped,,,,,,
Elissa Mezher,KUWA,Accrued Expenses,Accrued Expenses,Suggested,100%,1,183.62,1,Zoho Bills (line items),Elissa Mezher
ELITE AIRBORNE EXPRESS LLC,DMCC,,,Unmapped,,,,,,
Elite Sales DMCC,"DMCC, KUWA",Professional Fees,Professional Fees,Suggested,100%,6,24925.0,1,Zoho Bills (line items),Elite Sales DMCC
Ellis Harwood,DMCC,,,Unmapped,,,,,,
emax,DMCC,,,Unmapped,,,,,,
EMINA HALJKOVIC,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,800.0,1,Zoho Bills (line items),EMINA HALJKOVIC
Emirates Grand Hotel,DMCC,,,Unmapped,,,,,,
Emirates Home Care,DMCC,,,Unmapped,,,,,,
Emp - Kathouf Ali/قطوف علي عبد الخالق الغامدي,KSA,,,Unmapped,,,,,,
Emp - Omar Abdullah Alebladi / عمر عبدالله حمد البالدى,KSA,,,Unmapped,,,,,,
ENAS HOSNY FAWZY ABDELHAFEIZ,KUWA,Marketing Expense,Marketing Expense,Needs review,50%,2,750.0,2,Zoho Bills (line items),ENAS HOSNY FAWZY ABDELHAFEIZ
Epic Homes Real Estate Brokers LLC,DMCC,,,Unmapped,,,,,,
ERA BOTANICS PRIVATE LIMITED,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,47,41330.0,2,Zoho Bills (line items),ERA BOTANICS PRIVATE LIMITED
Eroute Technologies Pvt Ltd,PVT,,,Unmapped,,,,,,
Esperas Enterprises Private Limited,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,55,13210.17,1,Zoho Bills (line items),Esperas Enterprises Private Limited
Establishment MUSISA OUMAR ABDALLAH HA MED AL-BALADI AL-TAJARIA Commercial,KSA,,,Unmapped,,,,,,
ET Medialabs,DMCC,,,Unmapped,,,,,,
Etisalat,"DMCC, KUWA",Accrued Expenses,Accrued Expenses,Suggested,100%,25,10971.62,1,Zoho Bills (line items),Etisalat
Eve Kelly Galbraith,DMCC,,,Unmapped,,,,,,
Eve Line General Trading LLC,DMCC,,,Unmapped,,,,,,
Eventis Marketing LLC,DMCC,,,Unmapped,,,,,,
Evexiya,DMCC,,,Unmapped,,,,,,
Evgenija Kolev V,DMCC,,,Unmapped,,,,,,
Evogen Lifestyle Pvt. Ltd,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,38,5959.04,1,Zoho Bills (line items),Evogen Lifestyle Pvt. Ltd
Exclusive Idea Trading,KSA,,,Unmapped,,,,,,
Expansion Services Company for Advertising and Publicity/ركة اتساع الخدمات للدعاية والاعلان,KSA,,,Unmapped,,,,,,
EXPEDIENT HEALTHCARE MARKETING PRIVATE LIMITED,PVT,,,Unmapped,,,,,,
Expin,DMCC,,,Unmapped,,,,,,
Express Digital Systems FZCO,DMCC,,,Unmapped,,,,,,
Facebook,DMCC,,,Unmapped,,,,,,
Faiza hasan,DMCC,,,Unmapped,,,,,,
Fajr Al Madina Pharmacy L.L.C,DMCC,,,Unmapped,,,,,,
Falcons Wings L.L.C.-FZ,DMCC,,,Unmapped,,,,,,
FARAH GHANEM,DMCC,,,Unmapped,,,,,,
Farfromfat126,DMCC,,,Unmapped,,,,,,
Faryal Luhar,DMCC,,,Unmapped,,,,,,
Farzaneh Fathi,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,2,2203.5,1,Zoho Bills (line items),Farzaneh Fathi
Fast Track Travel and Tourism,KUWA,Staff Visa Expenses,Staff Visa Expenses,Suggested,100%,1,1450.0,1,Zoho Bills (line items),Fast Track Travel and Tourism
Fatima Jammal,DMCC,,,Unmapped,,,,,,
FATURA,DMCC,,,Unmapped,,,,,,
Fawasl Co. LTD.,KSA,,,Unmapped,,,,,,
Fazaa LLC,DMCC,,,Unmapped,,,,,,
FedEx Express,DMCC,,,Unmapped,,,,,,
Feel,DMCC,,,Unmapped,,,,,,
Feer McQueen,DMCC,,,Unmapped,,,,,,
Felurian Technology Private Limited,KUWA,Cost of Goods Sold,Cost of Goods Sold,Needs review,38%,8,8814.0,3,Zoho Bills (line items),Felurian Technology Private Limited
FENIX,DMCC,Last Mile,Last Mile,Suggested,98%,23,37962.2,2,Zoho Bills (line items),FENIX GULF SCOOTERS L.L.C.
FENIX GULF SCOOTERS L.L.C.,KUWA,Last Mile,Last Mile,Suggested,98%,23,37962.2,2,Zoho Bills (line items),FENIX GULF SCOOTERS L.L.C.
"Figma,Inc",DMCC,,,Unmapped,,,,,,
Fine Graphics Ltd. Co.,DMCC,,,Unmapped,,,,,,
Fine Graphics Saudi Arabia Limited/شركة فاين غرافيكس السعودية العربية المحدودة,KSA,,,Unmapped,,,,,,
First Cry,KUWA,Inventory Asset,Inventory Asset,Suggested,99%,10,879.23,2,Zoho Bills (line items),First Cry
FirstCry,DMCC,,,Unmapped,,,,,,
FIT FOR LIFE PHARMACY LLC.,DMCC,,,Unmapped,,,,,,
Fit On Click FZE,DMCC,,,Unmapped,,,,,,
FitCal,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,1,3840.0,1,Zoho Bills (line items),FitCal
FIVE SPLASH INFOTECH PVT. LTD.,DMCC,,,Unmapped,,,,,,
Flavia Elizabeth Fuertes Luyo,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1500.0,1,Zoho Bills (line items),Flavia Elizabeth Fuertes Luyo
Flavia Fuertes Luyo,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,3,3900.0,1,Zoho Bills (line items),Flavia Fuertes Luyo
FLEXOFIX,DMCC,,,Unmapped,,,,,,
Flight ticket,DMCC,,,Unmapped,,,,,,
FLIP XPRESS DELIVERY SERVICES LLC,DMCC,,,Unmapped,,,,,,
Flipkart,DMCC,,,Unmapped,,,,,,
Forever Finds Fz LLC,DMCC,,,Unmapped,,,,,,
FOUNTAINHEAD DELIVERY SERVICES L.L.C,KUWA,Last Mile,Last Mile,Suggested,83%,25,123368.64,3,Zoho Bills (line items),FOUNTAINHEAD DELIVERY SERVICES L.L.C
Freelance Consulting,DMCC,,,Unmapped,,,,,,
Freshworks,DMCC,,,Unmapped,,,,,,
From the Ground,DMCC,,,Unmapped,,,,,,
FS*Sejda,DMCC,,,Unmapped,,,,,,
Fusion Apothecary Pharmacy & Compounding Lab FZ-LLC,DMCC,,,Unmapped,,,,,,
Fusion Cosmeceutics Pvt Ltd,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,79,37680.58,1,Zoho Bills (line items),Fusion Cosmeceutics Pvt Ltd
Future Kart Solution,KUWA,Inventory Asset,Inventory Asset,Needs review,59%,13,9608.8,2,Zoho Bills (line items),Future Kart Solution
Futurerole inc,DMCC,,,Unmapped,,,,,,
GA GLOBAL FZ - LLC,DMCC,,,Unmapped,,,,,,
GAAS,HOLDING,,,Unmapped,,,,,,
GALADARI PRINTING AND PUBLISHING LLC,DMCC,,,Unmapped,,,,,,
Galleria Trading LLC,DMCC,,,Unmapped,,,,,,
GARY DOMINIC MC MONAGLE,DMCC,,,Unmapped,,,,,,
Genalive Lab Service - معامل جينا لايف,KSA,,,Unmapped,,,,,,
Georgia UGC,DMCC,,,Unmapped,,,,,,
Ghadeer Mohammed Alawi,KUWA,Marketing Expense,Marketing Expense,Suggested,100%,1,763.16,1,Zoho Bills (line items),Ghadeer Mohammed Alawi
Ghazal Hani Hebsh,KSA,,,Unmapped,,,,,,
Ghazl Ehab Naser,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1000.0,1,Zoho Bills (line items),Ghazl Ehab Naser
GIG Gulf Insurance Company,KUWA,Prepaid Insurance,Prepaid Insurance,Suggested,100%,3,62846.44,1,Zoho Bills (line items),GIG Gulf Insurance Company
Girls Who Walk,DMCC,,,Unmapped,,,,,,
GLO,KUWA,Inventory Asset,Inventory Asset,Suggested,81%,23,28724.83,2,Zoho Bills (line items),GLO
Global accounting Solutions LLC,HOLDING,,,Unmapped,,,,,,
Global Chartered Accountants,KUWA,Professional Fees,Professional Fees,Needs review,50%,2,2250.0,2,Zoho Bills (line items),Global Chartered Accountants
Global Healthfit Retail India Private Limited,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,26,27591.0,1,Zoho Bills (line items),Global Healthfit Retail India Private Limited
"Globallee, Inc",KUWA,Inventory Asset,Inventory Asset,Needs review,69%,18,231848.52,2,Zoho Bills (line items),"Globallee, Inc"
"GLOBALLEE, Inc.",DMCC,Inventory Asset,Inventory Asset,Needs review,69%,18,231848.52,2,Zoho Bills (line items),"Globallee, Inc"
Glow Star Media Solutions LLC,DMCC,,,Unmapped,,,,,,
GMG VITAMED,DMCC,Inventory Asset,Inventory Asset,Suggested,99%,758,1043945.31,3,Zoho Bills (line items),VITAMED LLC
Golden Camera Photography & events,DMCC,,,Unmapped,,,,,,
Golden International Logistics,KUWA,First mile,First mile,Suggested,100%,12,112704.0,1,Zoho Bills (line items),Golden International Logistics
Golden International Logistics FZE / LLC,DMCC,First mile,First mile,Suggested,100%,12,112704.0,1,Zoho Bills (line items),Golden International Logistics
GOLDEN MAGNET,DMCC,,,Unmapped,,,,,,
Golden Mind,DMCC,,,Unmapped,,,,,,
Goldenflitch Studios Private Limited,KUWA,Subscription Charges,Subscription Charges,Suggested,100%,7,61011.24,1,Zoho Bills (line items),Goldenflitch Studios Private Limited
Good WorkLabs Services Pvt Ltd,DMCC,,,Unmapped,,,,,,
Google,DMCC,,,Unmapped,,,,,,
Google Ireland Limited,KUWA,Marketing Expense,Marketing Expense,Suggested,100%,37,517757.76,1,Zoho Bills (line items),Google Ireland Limited
GOYAL TRADING CO,PVT,,,Unmapped,,,,,,
GRAND HEIGHTS HOTEL APARTMENT L.L.C,VWHC,,,Unmapped,,,,,,
Grand Hyper,DMCC,,,Unmapped,,,,,,
GRANDOR GENERAL TRADING CO. L.L.C,KUWA,Listing Fees,Listing Fees,Suggested,100%,1,3000.0,1,Zoho Bills (line items),GRANDOR GENERAL TRADING CO. L.L.C
Green Land ReGreen Land Recycling Solutioncycling Solution,KUWA,,,Unmapped,,,,,,
GREEN PARADIZE GLOBAL SERVICES FZC LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,99%,545,1851172.14,5,Zoho Bills (line items),GREEN PARADIZE GLOBAL SERVICES FZC LLC
Growth Arbor,DMCC,,,Unmapped,,,,,,
GS1 Emirates,"DMCC, KUWA",Government Relation Expenses,Government Relation Expenses,Needs review,51%,2,3150.0,2,Zoho Bills (line items),GS1 Emirates
Gulf Insurance Group (Gulf) B.S.C.(c),DMCC,,,Unmapped,,,,,,
HABITS DMCC,DMCC,,,Unmapped,,,,,,
Hadeel Alazawey,DMCC,,,Unmapped,,,,,,
Hala Health,DMCC,,,Unmapped,,,,,,
Hala Health Altab Medical Care,KSA,,,Unmapped,,,,,,
Halian Labor Supply LLC,DMCC,,,Unmapped,,,,,,
HANADY HAMDAN ADVERTISING SERVICES,DMCC,,,Unmapped,,,,,,
Haneen karouj,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,2,4038.0,1,Zoho Bills (line items),Haneen karouj
Happy Bubble Promotional Gifts LLC,DMCC,,,Unmapped,,,,,,
HARMONE WELLNESS,DMCC,,,Unmapped,,,,,,
Harmonix - FZC,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,7,58818.0,1,Zoho Bills (line items),Harmonix - FZC
Harriet Aldridge,DMCC,,,Unmapped,,,,,,
Harvard Management Solutions FZE LLC,DMCC,,,Unmapped,,,,,,
Hassnaa Ahmed Abdou Kedah,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,750.0,1,Zoho Bills (line items),Hassnaa Ahmed Abdou Kedah
HautAI OU,DMCC,,,Unmapped,,,,,,
HB VISUALS,DMCC,,,Unmapped,,,,,,
HD Fitness by Hala Dakhil,DMCC,,,Unmapped,,,,,,
HEALTH EXPRESS,DMCC,,,Unmapped,,,,,,
Health Hub,DMCC,,,Unmapped,,,,,,
Health To Your Doorstep - Jelena Petelinkar,DMCC,,,Unmapped,,,,,,
Healthserve Home Healthcare LLC,DMCC,,,Unmapped,,,,,,
Healthy Nation Medical Center Dubai,DMCC,,,Unmapped,,,,,,
HEALTHYHEY FOODS LLP,KUWA,Inventory Asset,Inventory Asset,Needs review,77%,159,667455.05,3,Zoho Bills (line items),HEALTHYHEY FOODS LLP
Heavenly Secrets Private Limited,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,84%,1841,1786933.49,5,Zoho Bills (line items),Heavenly Secrets Private Limited
Heba Mohamed Ali Sadek,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,2,1796.49,1,Zoho Bills (line items),Heba Mohamed Ali Sadek
Helios Lifestyle Ltd,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,16,13328.6,1,Zoho Bills (line items),Helios Lifestyle Ltd
Helium 10,DMCC,,,Unmapped,,,,,,
Helpful Agency – Riyadh Infinity Care,KSA,,,Unmapped,,,,,,
HELPLINE GROUP WLL,HOLDING,,,Unmapped,,,,,,
HELT Fitness Center L.L.C,DMCC,,,Unmapped,,,,,,
Herbal Max Healthcare pvt ltd,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,87%,384,414850.09,3,Zoho Bills (line items),Herbal Max Healthcare pvt ltd
Himalayan organics,DMCC,,,Unmapped,,,,,,
Hla Qzzi,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1500.0,1,Zoho Bills (line items),Hla Qzzi
Home med,DMCC,,,Unmapped,,,,,,
Home Med/هوم ميد,KSA,,,Unmapped,,,,,,
HOME SCAPES TECHNICAL SERVICES LLC,DMCC,,,Unmapped,,,,,,
Honasa Consumer Limited,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,81%,3041,4078811.7,4,Zoho Bills (line items),Honasa Consumer Limited
Hormone wellness,DMCC,,,Unmapped,,,,,,
Hotel Booking,DMCC,,,Unmapped,,,,,,
HUMAN EDGE ADVISORY SERVICES PVT LTD,DMCC,,,Unmapped,,,,,,
Humantra,DMCC,Inventory Asset,Inventory Asset,Suggested,94%,131,543640.0,3,Zoho Bills (line items),Humantra DMCC
Humantra UAE,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,4,20800.0,1,Zoho Bills (line items),Humantra UAE
Hungerstation,DMCC,,,Unmapped,,,,,,
Hustle Media Production Studio,DMCC,,,Unmapped,,,,,,
Hyjiya Store,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,1,2450.0,1,Zoho Bills (line items),Hyjiya Store
i Konsult,DMCC,Consultant Expense,Consultant Expense,Suggested,100%,1,34080.0,1,Zoho Bills (line items),I Konsult
I Konsult,KUWA,Consultant Expense,Consultant Expense,Suggested,100%,1,34080.0,1,Zoho Bills (line items),I Konsult
I mile KSA,"DMCC, KUWA",Last Mile,Last Mile,Suggested,100%,20,7004.34,1,Zoho Bills (line items),I mile KSA
i Mile Saudi Logistic Services Company LLC/شركة آي مايل السعودية للخدمات اللوجستية ش.م.م,KSA,,,Unmapped,,,,,,
I W E INTRANATIONAL SHIPPING L.L.C,KUWA,Last Mile,Last Mile,Suggested,100%,2,270.0,1,Zoho Bills (line items),I W E INTRANATIONAL SHIPPING L.L.C
I-Mile,DMCC,Last Mile,Last Mile,Suggested,100%,54,36376.0,1,Zoho Bills (line items),iMile Delivery Services LLC
I.AM.FOXXY,DMCC,,,Unmapped,,,,,,
IBEFORO PRIVATE LIMITED,DMCC,,,Unmapped,,,,,,
IBN BATUTA MEDICINE & MEDICAL EQUIP. STORE LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,92%,21,12863.63,2,Zoho Bills (line items),IBN BATUTA MEDICINE & MEDICAL EQUIP. STORE LLC
IBN BATUTA MEDICINE & MEDICAL EQUIP.STORE LLC,DMCC,Inventory Asset,Inventory Asset,Suggested,92%,21,12863.63,2,Zoho Bills (line items),IBN BATUTA MEDICINE & MEDICAL EQUIP. STORE LLC
ICO HEALTHY LIVING,DMCC,,,Unmapped,,,,,,
ICON RENDERS FZE,KUWA,Capital Expenditure,Capital Expenditure,Suggested,100%,6,58075.0,1,Zoho Bills (line items),ICON RENDERS FZE
ICUBESWIRE TECHNOLOGIES FZ- LLC,DMCC,,,Unmapped,,,,,,
ICUBESWIRE TECHNOLOGIES FZLLC/شركة آي سي يو بي إس واير للتكنولوجيا ذ.م.م.,KSA,,,Unmapped,,,,,,
Ideal Health Care Co.,KUWA,,,Unmapped,,,,,,
IDEAL HEALTH CARE CO.,SAHA,,,Unmapped,,,,,,
IGA Meta Value,DMCC,,,Unmapped,,,,,,
iHerb,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,99%,82,30348.63,5,Zoho Bills (line items),iHerb
IKEA,DMCC,,,Unmapped,,,,,,
IKN Solutions,DMCC,,,Unmapped,,,,,,
Ilinaz Bahrami,DMCC,,,Unmapped,,,,,,
iMile Delivery Services LLC,KUWA,Last Mile,Last Mile,Suggested,100%,54,36376.0,1,Zoho Bills (line items),iMile Delivery Services LLC
ImpresaPro Serviziz,DMCC,,,Unmapped,,,,,,
Inactive-CIS INTERNATIONAL SERVICE CO. LTD,DMCC,Inventory Asset,Inventory Asset,Suggested,100%,42,34694.23,1,Zoho Bills (line items),CIS INTERNATIONAL SERVICE CO. LTD
INCO International FZ CO,DMCC,Manpower cost,Manpower cost,Needs review,75%,21,66636.07,2,Zoho Bills (line items),Inco International FZCO
Inco International FZCO,KUWA,Manpower cost,Manpower cost,Needs review,75%,21,66636.07,2,Zoho Bills (line items),Inco International FZCO
INDO ASIAN CONSULTING SERVICES,KUWA,Government Relation Expenses,Government Relation Expenses,Suggested,100%,3,4822.21,1,Zoho Bills (line items),INDO ASIAN CONSULTING SERVICES
Indospirit Private Limited,DMCC,,,Unmapped,,,,,,
Infinite Home HealthCare,DMCC,,,Unmapped,,,,,,
Info Edge (India) Limited (Dubai Br),DMCC,,,Unmapped,,,,,,
